name,height_in,weight_lbs,reach_in
Aaron Phillips,69,135,70
Aaron Riley,68,155,69
Aaron Rosa,76,205,78
Aaron Simpson,72,170,73
Abdul Razak Alhassan,70,170,73
Abdul-Kerim Edilov,74,205,78
Abel Trujillo,68,155,70
Abner Lloveras,71,155,71
Abu Azaitar,69,185,76
Adam Antolin,65,125,63
Adam Cella,74,170,78
Adam Hunter,73,185,73
Adam Milstead,75,205,76
Adam Wieczorek,77,250,81
Adam Yandiev,69,185,74
Adlan Amagov,74,170,76
Adriano Martins,70,155,72
Aiemann Zahabi,68,135,68
Aisling Daly,62,115,64
Akbarh Arreola,70,155,71
Akihiro Gono,67,170,68
Akira Corassani,68,145,68
Akitoshi Tamura,69,135,70
Al Iaquinta,70,155,70
Alan Belcher,74,185,73
Alan Jouban,72,170,73
Alan Omer,70,145,71
Alan Patrick,71,155,74
Albert Morales,69,135,72
Albert Tumenov,71,170,73
Alberto Mina,72,170,77
Alberto Uda,75,185,77
Alejandro Perez,66,135,67
Aleksandar Rakic,76,205,78
Aleksei Kunchenko,68,170,70
Aleksei Oleinik,74,240,80
Alen Amedovski,70,185,74
Alessandro Ricci,71,155,69
Alessio Di Chirico,72,185,74
Alessio Sakara,72,185,72
Alex Caceres,70,145,73
Alex Chambers,63,115,63
Alex Da Silva,68,155,73
Alex Enlund,70,145,73
Alex Garcia,69,170,72
Alex Gilpin,67,145,72
Alex Gorgees,74,155,74
Alex Karalexis,68,155,66
Alex Morono,71,170,72
Alex Nicholson,76,185,81
Alex Oliveira,71,170,76
Alex Perez,66,135,65
Alex Reyes,71,170,73
Alex Serdyukov,74,170,74
Alex Soto,68,135,71
Alex Torres,70,145,70
Alex White,72,155,71
Alexa Grasso,65,115,66
Alexander Gustafsson,77,205,79
Alexander Hernandez,69,155,72
Alexander Volkanovski,66,145,71
Alexander Volkov,79,250,80
Alexander Yakovlev,75,155,74
Alexandra Albu,62,115,63
Alexandre Pantoja,65,125,67
Alexis Davis,66,125,68
Alexis Dufresne,69,135,68
Alfred Khashakyan,68,135,70
Ali Bagautinov,64,125,65
Alistair Overeem,76,265,80
Aljamain Sterling,67,135,71
Allan Zuniga,67,155,70
Allen Crowder,75,245,76
Alonzo Menifield,72,205,76
Alptekin Ozkilic,65,125,65
Alton Cunningham,74,205,77
Alton Meeks,77,265,75
Alvaro Herrera,72,155,74
Alvin Robinson,69,155,68
Amanda Cooper,63,115,64
Amanda Lemos,64,135,65
Amanda Nunes,68,145,69
Amir Sadollah,70,170,74
Anderson Dos Santos,65,135,70
Anderson Silva,74,185,77
Andre Ewell,68,135,75
Andre Fili,71,145,74
Andre Soukhamthath,69,135,70
Andre Winner,71,155,73
Andrea Lee,66,125,69
Andreas Stahl,71,170,73
Andrei Arlovski,75,240,77
Andrew Craig,73,170,76
Andrew Holbrook,71,155,70
Andrew Sanchez,73,185,74
Andrew Todhunter,72,185,72
Andy Enz,75,185,78
Andy Ogle,68,145,69
Angela Hill,63,115,64
Angela Magana,61,115,65
Anna Elmose,63,115,65
Anthony Adams,72,185,77
Anthony Birchak,68,135,69
Anthony Christodoulou,69,155,72
Anthony Hamilton,77,260,76
Anthony Hernandez,72,185,75
Anthony Johnson,74,205,78
Anthony Lapsley,69,170,71
Anthony Njokuani,73,155,75
Anthony Perosh,75,205,75
Anthony Pettis,70,170,72
Anthony Rocco Martin,72,170,73
Anthony Smith,76,205,76
Anton Kuivanen,68,155,72
Anton Zafir,71,170,72
Antoni Hardonk,76,245,78
Antonina Shevchenko,68,125,67
Antonio Banuelos,65,135,63
Antonio Braga Neto,75,185,77
Antonio Carlos Junior,74,185,79
Antonio Carvalho,69,145,68
Antonio Dos Santos,70,185,72
Antonio Mendes,75,205,77
Antonio Silva,76,264,80
Antwain Britt,73,205,77
Ariane Lipski,63,125,67
Ariel Beck,66,125,66
Arjan Bhullar,73,245,75
Arman Tsarukyan,67,155,72
Arnold Allen,68,145,70
Artem Lobov,69,145,65
Ashkan Mokhtarian,66,125,67
Ashlee Evans-Smith,68,125,67
Ashley Yoder,67,115,69
Aspen Ladd,66,135,66
Augusto Mendes,66,135,65
Augusto Montano,73,170,73
Augusto Sakai,75,265,77
Austen Lane,78,245,80
Austin Arnett,72,145,72
Austin Hubbard,70,155,71
Austin Springer,68,145,71
Austin Tweedy,69,155,68
Austin Vanderford,71,170,74
Azamat Gashimov,66,125,66
BJ Penn,69,155,70
Barb Honchak,64,125,65
Bart Palaszewski,69,145,70
Bartosz Fabinski,72,170,75
Bea Malecki,69,135,74
Bec Rawlings,66,125,64
Belal Muhammad,71,170,72
Ben Askren,71,170,73
Ben Nguyen,65,125,65
Ben Rothwell,76,265,78
Ben Saunders,74,170,77
Ben Wall,70,155,73
Beneil Dariush,70,155,72
Benito Lopez,70,135,73
Benny Alloway,71,170,75
Benson Henderson,69,170,70
Bentley Syler,64,125,68
Bernardo Magalhaes,69,155,65
Besam Yousef,71,170,71
Bethe Correia,65,135,64
Bevon Lewis,75,185,79
Bharat Kandare,67,135,72
Bill Algeo,72,145,73
Billy Evangelista,68,155,68
Blagoy Ivanov,71,250,73
Blas Avena,72,170,74
Bobby Green,70,155,71
Bobby Lashley,75,255,78
Bobby Moffett,70,145,74
Bobby Nash,72,170,74
Bobby Voelker,72,170,75
Bojan Mihajlovic,71,205,73
Bojan Velickovic,72,170,76
Boston Salmon,69,135,69
Brad Blackburn,70,170,73
Brad Katona,66,135,64
Brad Pickett,66,135,68
